claim_id,claim,classification,date,person_1,person_2,organization,efta_bates,primary_source,secondary_source,exact_quote,notes,confidence
C037,"The Reid in the Blockstream allocation correspondence was Reid Hoffman.",STRONG_INFERENCE,2014-07,Reid Hoffman,Austin Hill,Blockstream,"EFTA01917472; EFTA01748990; EFTA00631402","../sources/EFTA01748990.pdf",,,"Exact allocation email uses first name only; adjacent full-name thread strongly resolves identity.",high
C038,"Reid Hoffman knew the Blockstream allocation contained Epstein beneficial-owner money.",OPEN,2014,Reid Hoffman,Jeffrey Epstein,"Blockstream; Kyara III",,"corpus search",,,"No Hoffman acknowledgment of Southern Financial Kyara ownership or wire source found.",medium-high
C039,"The recipient of Epstein's October 30 2008 Financial Organism email was identified.",OPEN,2008-10-30,Jeffrey Epstein,"redacted recipient",,EFTA00694623,"../sources/EFTA00694623.pdf",,,"Duplicate thread metadata and plus/minus 30-day searches did not resolve recipient.",high
C040,"Epstein proposed a sovereign Russian version of Bitcoin to Jagland for Putin.",VERIFIED,2014-01-19,Jeffrey Epstein,Thorbjorn Jagland,Russia,EFTA00981054,"../sources/EFTA00981054.pdf",,,"No acknowledgment forwarding or adoption located.",high
C041,"Epstein proposed a physical Sharia currency and a Bitcoin-like Sharia-compliant digital currency to Saudi-linked contacts.",VERIFIED,2016-10-13,Jeffrey Epstein,"Raafat Alsabbagh; Aziza Alahmadi",,EFTA02446989,"../sources/EFTA02446989.pdf",,,"Claim of speaking with Bitcoin founders is uncorroborated.",high
C042,"The Qatar thread developed into technical legal and Sharia questions about a sovereign-backed blockchain currency.",VERIFIED,2017-01/02,Jeffrey Epstein,Fawzi Siam,Qatar,EFTA01054971,"../sources/EFTA01054971.pdf",,,"No final proposal adviser or implementation found.",high
C043,"Epstein proposed a non-Bitcoin Mongolian coin using blockchain architecture and sovereign backing.",VERIFIED,2017-07-08/09,Jeffrey Epstein,Ganbat Chuluunkhuu,Mongolia,"EFTA01041151; EFTA01040718","../sources/EFTA01040718.pdf",,,"Genghis Coin label; no state project located.",high
C044,"Battulga's thanks for Epstein's support proves election or financial support.",OPEN,2017-07-08,Khaltmaagiin Battulga,Jeffrey Epstein,Mongolia,EFTA01040718,"../sources/EFTA01040718.pdf",,,"Support is not explained in the thread.",high
C045,"Sultan Ahmed bin Sulayem affirmatively supported a Dubai-backed digital currency and proposed DP World as issuer.",VERIFIED,2017-07-10,Sultan Ahmed bin Sulayem,Jeffrey Epstein,"Dubai; DP World",EFTA02393663,"https://www.justice.gov/epstein/files/DataSet%2011/EFTA02393663.pdf",,,"No follow-up implementation located.",high
C046,"Epstein's 2017 Saudi digital-currency letter was delivered to Mohammed bin Salman.",OPEN,2017-10-16,Jeffrey Epstein,Mohammed bin Salman,Saudi Arabia,EFTA00988621,"../sources/EFTA00988621.pdf",,,"Message addressed to Aziza but apparently written for a crown prince; delivery unproved.",high
C047,"MBZ and Khaldoon in the Abu Dhabi digital-currency thread mean Mohammed bin Zayed and Khaldoon Al Mubarak.",STRONG_INFERENCE,2017-10-05,"Mohammed bin Zayed; Khaldoon Al Mubarak",David Stern,Abu Dhabi,"EFTA02589631; EFTA00994138","../sources/EFTA00994138.pdf",,,"Context supports identities; document uses initials/first name only.",high
C048,"Epstein's Abu Dhabi contact caused or intersected with ADGM's October 9 crypto guidance.",CONTRADICTED,2017-10,Jeffrey Epstein,Ahmed Ali Al Sayegh,ADGM,EFTA00994138,"../sources/EFTA00994138.pdf","ADGM 2017-10-09 announcement",,"No bridge found; two items are separately numbered and guidance timing is insufficient.",high
C049,"Epstein reused a sovereign-backed blockchain pitch across multiple governments.",STRONG_INFERENCE,2014-2017,Jeffrey Epstein,,"Russia; Saudi; Qatar; Mongolia; Dubai; Abu Dhabi",,"combined primary emails",,,"Repeated language is verified; formal strategy and execution are not.",high
