source_number,title,date,source_type,person,organization,efta_bates,url,local_file,importance,notes
13,"Satoshi/Gavin final publicly known email thread",2011-04-26,email archive,"Satoshi Nakamoto; Gavin Andresen","Bitcoin; In-Q-Tel",,"https://riski.wiki/wiki/User:Gavinandresen/Blog/2022-04-26_Eleven_years_ago_today%E2%80%A6",,critical,"Contains Gavin's In-Q-Tel explanation and no later Satoshi reply."
14,"Gavin announces CIA-headquarters talk",2011-04-27,forum post,"Gavin Andresen","BitcoinTalk; CIA",,"https://bitcointalk.org/index.php?topic=6652.0",,critical,"Contemporaneous post."
15,"Gavin reports on completed event",2011-06-20,forum post,"Gavin Andresen","In-Q-Tel; CIA",,"https://bitcointalk.org/index.php?topic=6652.460",,critical,"Names categories/organizations of other speakers; not full attendee list."
16,"Amir Taaki/Donald Norman regulatory thread",2011-06-12/07-21,email thread,"Jeffrey Epstein; Amir Taaki; Donald Norman","UK FSA",EFTA00656005,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00656005.pdf","../sources/EFTA00656005.pdf",critical,"KYC, transmitters, gambling, PATRIOT Act, tax, e-gold/Liberty Dollar."
17,"Pierce asks Epstein about Milken Bitcoin panel",2012-03-07,email,"Brock Pierce; Jeffrey Epstein","Milken Institute",EFTA00672232,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00672232.pdf","../sources/EFTA00672232.pdf",high,"Potential 2012 gap-filler."
18,"Back/Hill St. Thomas planning",2014-04-14/15,email thread,"Adam Back; Austin Hill; Jeffrey Epstein",,EFTA00987576,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00987576.pdf","../sources/EFTA00987576.pdf",critical,"Island visit contemplated."
19,"Back/Hill travel reservations",2014-04-16,email/travel,"Adam Back; Austin Hill",,EFTA00987642,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00987642.pdf","../sources/EFTA00987642.pdf",critical,"Names Back in St. Thomas party, 04-17 through 04-20."
20,"Epstein tells Taaki Back is on island",2014-04-19,email,"Jeffrey Epstein; Adam Back; Amir Taaki",,EFTA00988395,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00988395.pdf","../sources/EFTA00988395.pdf",critical,"Epstein writes Andy Back; attribution corroborated by travel."
21,"Hill follow-up after St. Thomas",2014-05-01,email,"Austin Hill; Jeffrey Epstein; Adam Back",Blockstream,EFTA01926082,"https://www.justice.gov/epstein/files/DataSet%2011/EFTA01926082.pdf","../sources/EFTA01926082.pdf",high,"Includes bitcoin-as-commodity paper link."
22,"Blockstream allocation correspondence",2014-07-15,email,"Austin Hill; Joi Ito; Jeffrey Epstein; Adam Back",Blockstream,EFTA01917402,"https://www.justice.gov/epstein/files/DataSet%2011/EFTA01917402.pdf","../sources/EFTA01917402.pdf",critical,"Allocation increased from $50k to $500k; Reid reference unresolved."
23,"Duplicate/related Blockstream allocation correspondence",2014-07-15,email,"Austin Hill; Joi Ito; Jeffrey Epstein; Adam Back",Blockstream,EFTA01917472,"https://www.justice.gov/epstein/files/DataSet%2011/EFTA01917472.pdf","../sources/EFTA01917472.pdf",high,"Cross-check production."
24,"Kyara Investments III operating agreement",2014-09,operating agreement,"Jeffrey Epstein; Joichi Ito","Kyara III; Southern Financial; Blockstream",EFTA00584696,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00584696.pdf","../sources/EFTA00584696.pdf",critical,"Sole purpose Blockstream; 500/1000 interests each for Southern Financial and Ito."
25,"Southern Financial/Kyara wire ledger",2014-09-09,bank record,"Jeffrey Epstein; Joichi Ito","Southern Financial; Kyara III; Blockstream",EFTA00080250,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00080250.pdf","../sources/EFTA00080250.pdf",critical,"$500001 subscription to fund Blockstream investment."
26,"Related Southern Financial ledger",2014-09-09,bank record,"Jeffrey Epstein; Joichi Ito","Southern Financial; Kyara III",EFTA00027019,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00027019.pdf","../sources/EFTA00027019.pdf",high,"Corroborating ledger production."
27,"MIT DCI official Bitcoin Core overview",2015-,official institutional page,,"MIT Media Lab DCI",,"https://www.media.mit.edu/projects/bitcoin-core-development/overview/",,high,"DCI says it formed in 2015 to provide stable sustainable support for Core developers."
28,"Ito email attributing DCI speed to gift funds",2015-04,email,"Joichi Ito; Jeffrey Epstein","MIT Media Lab DCI",EFTA00680068,"https://bitcoinprotocol.org/epstein-bitcoin-emails/files/EFTA00680068.pdf",,high,"Use with attribution; dollar-by-dollar tracing not completed."
29,"Edge computation prize",2007,official archive,"Jeffrey Epstein; John Brockman",Edge, ,"https://www.edge.org/node/21191",,medium,"Shows Epstein-funded computation-network access, not cypherpunk transfer."
30,"Edge 2007 Billionaires' Dinner",2007,official archive,"John Brockman",Edge, ,"https://www.edge.org/node/3435",,medium,"Reviewed for attendee overlap; no named Satoshi correspondent found."
31,"Coinbase Series C term sheet",2014-10-24,corporate record,"Coinbase principals",Coinbase,EFTA01121035,"https://bitcoinprotocol.org/epstein-bitcoin-emails/files/EFTA01121035.pdf",,high,"Part of future complete closing packet."
32,"Reporting on Epstein Coinbase investment",2026-02-03,reputable journalism,"Jeffrey Epstein; Brock Pierce","IGO LLC; Coinbase",,"https://www.washingtonpost.com/technology/2026/02/03/epstein-files-coinbase-silicon-valley/",,medium,"Reports DOJ asset record and approximately $3m purchase; trace originals before final publication."
33,"Seckel gathering attendee list including Pierce",2010-11-04,email,"Al Seckel; Brock Pierce; Jeffrey Epstein",,EFTA00752383,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00752383.pdf","../sources/EFTA00752383.pdf",high,"Planned gathering; do not claim universal attendance without corroboration."
34,"Pierce virtual-currency follow-up",2011-09-30,email,"Brock Pierce; Jeffrey Epstein",,EFTA02007999,"https://www.justice.gov/epstein/files/DataSet%2011/EFTA02007999.pdf","../sources/EFTA02007999.pdf",high,"First located direct Pierce-Epstein virtual-currency message."
35,"Treasury virtual-currency visit message",2014-08-05,email,"Jeffrey Epstein; Lawrence Summers; Phil West","US Treasury",EFTA01854682,"https://www.justice.gov/epstein/files/DataSet%2011/EFTA01854682.pdf","../sources/EFTA01854682.pdf",high,"Epstein says he is going to Treasury to talk virtual currencies."
36,"Wallwork requests MIT Bitcoin/VC discussion",2014-08-22,email,"Anne Shere Wallwork; Joi Ito; Jeffrey Epstein","US Treasury; MIT",EFTA00631425,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00631425.pdf","../sources/EFTA00631425.pdf",critical,"Direct named-regulator access."
37,"Treasury call scheduling and thread",2014-08-22/10-15,email/calendar,"Wallwork; Ito; Epstein","US Treasury; MIT",EFTA00364133,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00364133.pdf","../sources/EFTA00364133.pdf",critical,"Includes agenda and scheduling."
38,"Treasury conference-call reminder",2014-10-15,calendar,"Wallwork; Epstein","US Treasury",EFTA00360763,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00360763.pdf","../sources/EFTA00360763.pdf",high,"Evidence scheduled call reached event stage."
39,"Epstein forwards Hill reading to Farkas",2014-05-01,email,"Jeffrey Epstein; Andrew Farkas; Austin Hill",,EFTA00870319,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00870319.pdf","../sources/EFTA00870319.pdf",high,"Verified forwarding; no substantive Epstein analysis."
40,"Why Bitcoin Has Value",2014-05,academic article,"Marshall Van Alstyne","Communications of the ACM",,"https://doi.org/10.1145/2594288",,high,"Hill-linked paper; Dropbox dead and author-upload host blocked automated preservation."
41,"Reid bitcoin position exit thread",2015-04-23/24,email,"Jeffrey Epstein; Joi Ito; Reid",Blockstream,EFTA00631402,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00631402.pdf","../sources/EFTA00631402.pdf",high,"Corroborates Reid allocation role."
42,"Stellar/Blockstream investor conflict",2014-07-31/08-02,email,"Austin Hill; Joi Ito; Jeffrey Epstein; Reid Hoffman",Blockstream,EFTA01748990,"https://www.justice.gov/epstein/files/DataSet%2010/EFTA01748990.pdf","../sources/EFTA01748990.pdf",critical,"Full-name Hoffman context for Reid inference."
43,"Russian version of Bitcoin pitch",2014-01-19,email,"Jeffrey Epstein; Thorbjorn Jagland; Vladimir Putin",,EFTA00981054,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00981054.pdf","../sources/EFTA00981054.pdf",critical,"Earliest sovereign pitch currently found."
44,"Saudi-linked Sharia/crypto precursor",2016-10-10,email,"Jeffrey Epstein; recipient rendered Jabor Y.",,EFTA02448712,"https://www.justice.gov/epstein/files/DataSet%2011/EFTA02448712.pdf","../sources/EFTA02448712.pdf",high,"Smart contracts and Sharia."
45,"Two Sharia currencies proposal",2016-10-13,email,"Jeffrey Epstein; Raafat Alsabbagh; Aziza Alahmadi",,EFTA02446989,"https://www.justice.gov/epstein/files/DataSet%2011/EFTA02446989.pdf","../sources/EFTA02446989.pdf",critical,"Founders claim is Epstein's uncorroborated attribution."
46,"Qatar blockchain/Sharia thread",2017-01-25/02-07,email thread,"Jeffrey Epstein; Fawzi Siam; Sheikh Jabor Al Thani; Sheikh Waleed Ben Hady",,EFTA01054971,"https://www.justice.gov/epstein/files/DataSet%209/EFTA01054971.pdf","../sources/EFTA01054971.pdf",critical,"Most developed technical/legal sovereign-currency exchange."
47,"Mongolia Battulga digital-currency thread",2017-07-07/13,email thread,"Jeffrey Epstein; Ganbat Chuluunkhuu; Khaltmaagiin Battulga",,EFTA01040718,"https://www.justice.gov/epstein/files/DataSet%209/EFTA01040718.pdf","../sources/EFTA01040718.pdf",critical,"Contains sovereign backing blockchain architecture and Genghis Coin."
48,"Mongolia duplicate/related thread",2017-07-08/09,email thread,"Jeffrey Epstein; Ganbat Chuluunkhuu",,EFTA01041151,"https://www.justice.gov/epstein/files/DataSet%209/EFTA01041151.pdf","../sources/EFTA01041151.pdf",high,"Cross-check production."
49,"Dubai/DP World digital-currency proposal",2017-07-10,email,"Jeffrey Epstein; Sultan Ahmed bin Sulayem","DP World",EFTA02393663,"https://www.justice.gov/epstein/files/DataSet%2011/EFTA02393663.pdf",,critical,"Archive API copy unavailable; exact text cross-checked in indexed primary transcription."
50,"Abu Dhabi digital-currency and ADGM items",2017-10-05,email,"David Stern; Jeffrey Epstein; MBZ; Khaldoon; Ahmed Ali Al Sayegh","ADGM",EFTA00994138,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00994138.pdf","../sources/EFTA00994138.pdf",critical,"Two separately numbered items; do not infer ADGM causation."
51,"Abu Dhabi meeting request precursor",2017-10-03,email,"Jeffrey Epstein; David Stern; MBZ",,EFTA02589631,"https://www.justice.gov/epstein/files/DataSet%2012/EFTA02589631.pdf","../sources/EFTA02589631.pdf",high,"Identity MBZ strongly inferred from context."
52,"Saudi crown-prince-directed draft via Aziza",2017-10-16,email,"Jeffrey Epstein; Aziza Alahmadi; apparently Mohammed bin Salman",,EFTA00988621,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00988621.pdf","../sources/EFTA00988621.pdf",critical,"Delivery to MBS unproved."
53,"Jagland digital-currencies follow-up",2017-10-17,email,"Jeffrey Epstein; Thorbjorn Jagland; Vladimir Putin",,EFTA00986325,"https://www.justice.gov/epstein/files/DataSet%209/EFTA00986325.pdf","../sources/EFTA00986325.pdf",high,"No response/outcome."
54,"ADGM ICO and virtual-currency guidance",2017-10-09,official regulator announcement,,"ADGM FSRA",,"https://www.adgm.com/media/announcements/abu-dhabi-global-market-sets-out-guidance-on-initial-coin-offerings-and-virtual-currencies",,high,"No documentary bridge to Epstein's October 5 contact."
55,"Battulga takes oath",2017-07-10,official government page,"Khaltmaagiin Battulga","President of Mongolia",,"https://president.mn/en/2017/07/10/khaltmaagiin-battulga-takes-oath/",,high,"Official election/inauguration context."
