claim_id,claim,country,date_range,people,organizations,usaid_aid_link,cia_link,narcotics_link,logistics_link,financial_link,us_endpoint_link,evidence_level,source_1,page_1,source_2,page_2,source_3,page_3,independent_sources_count,official_position,contrary_evidence,documentary_break,strongest_inference,article_value,notes
P3V2-011,CIA/USAID helped create Xieng Khouang Air Transport,Laos,1967+,Vang Pao; Shackley,CIA; USAID; XKAT,Direct,Direct assistance,Reported opium/heroin use,C-47/DC-3,Commercial support,No U.S. load traced,CORROBORATED ACCOUNT,McCoy,225,Shackley via Scott AWM,139 n.48,,,2 for formation; 1 for narcotics layer,N/A,"No corporate, grant, loan, transfer, or flight record located",Independent USAID-knowledge witness and named-carrier narcotics record,Aid built local covert-allied carrier,Very high,Formation/route corroborated; knowledge and opium/heroin carriage remain McCoy-dependent
P3V2-012,XKAT carried opium/heroin and officials knew Long Tieng commerce meant opium,Laos,late 1960s,Former USAID official; Hmong sources,XKAT; USAID; CIA,Direct,Direct ally/system,Reported carriage,Local airline,Commercial revenue,No traced U.S. endpoint,CORROBORATED ACCOUNT,McCoy,225; nn.119-121,Scott AWM,139 n.48,,,2 source types but Scott dependent,N/A,No manifests; unnamed USAID source,Interview notes and carrier logs,Strongest USAID-commercial narcotics bridge,Very high,
P3V2-013,MSU/ICA/USOM built centralized Vietnamese police intelligence capacity,South Vietnam,1955-1962,Wesley Fishel; advisers,MSUG; ICA/USOM; Sûreté; VBI,Direct,Not shown in primary files,None shown,Records/radios/vehicles,Aid procurement,None,DOCUMENTED FACT,MSU proposed report,4-21,MSU final report,51-53,,,2 primary documents,N/A,None on capacity,CIA/narcotics link,Aid created access and coercive infrastructure,High,
P3V2-014,"MSU helped reclassify about 600,000 criminal and subversive fingerprint cards",South Vietnam,1955-1962,Identification officers,MSUG; Central Identification Bureau,Direct,Not shown,None,Information system,Aid funded,None,DOCUMENTED FACT,MSU final report,53,,,,,1 primary,N/A,None,CIA access/drug use,Large-scale information pipeline,High,
P3V2-015,"MSU/USOM supplied arms, ammunition, tear gas, vehicles and radio systems",South Vietnam,1955-1962,Advisers; police,MSUG; USOM; Sûreté; Civil Guard,Direct,Not shown,None,Vehicles/radios/facilities,Aid funding,None,DOCUMENTED FACT,MSU final report,51-53,,,,,1 primary,N/A,None,CIA/narcotics link,Concrete security infrastructure,High,
P3V2-016,AID official cover was a CIA practice,Global,Cold War,Unnamed officers,CIA; AID,Direct cover,Direct,None inherent,Official presence/access,Salaries/program interface,None,CORROBORATED ACCOUNT,Marchetti/Marks,"69,251",,,,,1 local insider source,N/A,No named Article 3 drug actor,Personnel cover records; Agee,AID-as-cover thesis survives narrowly,High,Do not universalize
P3V2-017,CIA air proprietaries were essential covert logistics under commercial cover,Global/SEA,1950s-1970s,George Doole,CIA; Air America; CAT; SAT,AID customer/fronted programs,Direct,Only case-specific,Large airline network,Profits/contracts,Various,DOCUMENTED FACT,Marchetti/Marks,145-160,Senate Book I,11-17,,,2,Official ownership admitted,Opacity is not drug proof,Flight-level records,Commercial cover enabled deniable transport,High,
P3V2-018,Kerry found substantial evidence of trafficking by Contra-associated individuals and use of supply networks,Central America,1980s,Contras; pilots; suppliers,Contra networks,"State humanitarian aid, not USAID",CIA-backed war,Drug smuggling,Supply network,Trafficker assistance,U.S.-bound routes,DOCUMENTED FACT,Kerry report,"6-8,24",,,,,1 official investigation with many underlying sources,Leaders not found to direct trafficking,Leadership/CIA direction,Network-level overlap,Very high,,
P3V2-019,"State paid four drug-linked Contra contractors $806,452.32",Central America,1986,Matta; Palmer; others,SETCO; DIACSA; Frigorificos; Vortex; State,"Humanitarian label, not USAID",Proxy logistics context,Documented derogatory ties,Aircraft/freight,Exact payments,Some firms tied to U.S. routes,DOCUMENTED FACT,Kerry report,27-30,Cocaine Politics,35-36,,,1 primary cluster,N/A,Paid cargo not proved to contain drugs,Procurement files,Public funds preserved risky logistics,Very high,
P3V2-020,"Morales traded money, aircraft and training for Southern Front drug-logistics access",Costa Rica/Nicaragua/U.S.,1984-1986,George Morales; ARDE/FRS figures,CIA; ARDE/FRS,None,Known CIA relationships,Direct cocaine bargain,Aircraft/pilots/facilities,"$100,000",United States specified,CORROBORATED ACCOUNT,Kerry report,30-32,OIG II,22-23,,,2 institutional reviews,No CIA authorization found,Written agreement/flight manifests,Reciprocal benefit chain,Very high,,
P3V2-021,CIA contacts with four Morales-implicated people continued after ending ARDE organization relationship,Costa Rica,1984-1987,Four implicated individuals,CIA; ARDE/FRS,None,Direct contacts,Known drug arrangement context,Operational relationships,Continued support/contact,U.S. route context,DOCUMENTED FACT,OIG II,22-23,,,,,1 official investigation,Institutional conspiracy denied,Nature of every contact,Support continued after knowledge,Very high,,
P3V2-022,Hull's airstrips were linked by witnesses to weapons-south/cocaine-north flights,Costa Rica/Florida,1980s,John Hull; Gary Betzner,Contra network; CIA/FDN,None,Support relationship,Cocaine allegations,Airstrips/aircraft,Monthly support context,Florida,CORROBORATED ACCOUNT,Kerry report,33-34,Cocaine Politics,38-43,,,5 underlying witnesses,Hull denied allegations,Manifests and independent direct witnesses,Shared logistics may have enabled route,High,,
P3V2-023,Investigators believed powerful interests protected Hull,Costa Rica/U.S.,1980s,Jeffrey Feldman; FBI agent,DOJ; FBI; Embassy,None,Contra/CIA equities,Underlying allegations,Investigation access,None,U.S. law enforcement,CORROBORATED ACCOUNT,Kerry report,33-34,,,,,2 investigator accounts,N/A,Alternative bureaucratic explanations,Full prosecution file,Operational equities impeded inquiry,High,
P3V2-024,Bueso received leniency advocacy linked to operational value,Honduras/U.S.,1980s,José Bueso Rosa; U.S. officials,CIA/NSC/DOJ,None,Operational relationship,Drug-financed plot,None,Sentence accommodation,U.S. prosecution,DOCUMENTED FACT,Kerry report,66-67,OIG/context,case refs,,,1 primary cluster,N/A,Plea/evidence considerations also relevant,Full sentencing file,Specific protection decision,Very high,
P3V2-025,Seal sting was compromised for Contra politics and proposed proceeds diversion was rejected,U.S./Nicaragua,1984,Barry Seal; Oliver North,DEA; NSC,None,Covert policy context,Cartel sting,Aircraft/operation,Proposed $1.5m,U.S. enforcement,DOCUMENTED FACT,Kerry report,"26,66-67",,,,,1 documentary cluster,N/A,Not CIA trafficking proof,Full DEA/NSC file,Enforcement subordinated to politics,Very high,
P3V2-026,1982 CIA-DOJ MOU omitted narcotics from mandatory nonemployee reporting,United States,1982-1995,Casey; Smith,CIA; DOJ,None,Direct policy,Reporting category gap,Information logistics,None,U.S. enforcement,DOCUMENTED FACT,OIG II,"25-29,42-47",Signed MOU,409-418,,,1 document plus review,OIG found no protective intent; cooperation letter,Implementation records,Gap increased discretion around assets,Very high,,
P3V2-027,CIA lacked agencywide crimes-reporting regulation until Dec. 1987 and acted inconsistently,United States/Central America,1980s,CIA officials,CIA,None,Direct,Drug allegations,Reporting system,None,U.S. enforcement,DOCUMENTED FACT,OIG II,26-30,,,,,1 official,No evidence every omission was intentional,Case-by-case record,Institutional inconsistency enabled nonreporting,High,,
P3V2-028,CIA retained Hyde fuel relationship despite serious allegations,Honduras,1980s,Alan Hyde,CIA; fuel company,None,Direct supplier,Serious allegations,Critical avgas,Paid relationship,Potential U.S. prosecution,DOCUMENTED FACT,OIG II,307-321,"USDAO, Coast Guard, DEA, Customs and CIA cables summarized in OIG II",290-304,,,Multiple official reporting channels,Allegations unsubstantiated/no case pending,Underlying investigative file,No conviction establishing Hyde trafficking allegations,Very high,,"Operational-necessity approval, extensions, avgas/storage dependence, and 1993 prosecution-exposure cable documented"
P3V2-029,1993 CIA cable discouraged counternarcotics action because relationship could complicate prosecution,Honduras/U.S.,1993,Alan Hyde,CIA; counternarcotics authorities,None,Past direct relationship,Counterdrug target,Information/legal logistics,None,U.S. prosecution,DOCUMENTED FACT,OIG II,318,,,,,1 primary cable via OIG,Outcome of proposed action unclear,Full cable/response,Agency equity affected enforcement,Very high,,
P3V2-030,Fiers acknowledged significant evidence of Southern Front cocaine trafficking to U.S. during cutoff,Central America/U.S.,mid-1980s testimony later,Alan Fiers,CIA; SSCI; Southern Front,None,Senior officer knowledge,Cocaine trafficking,Proxy network,Potential proxy benefit,United States,DOCUMENTED FACT,OIG II,365,,,,,1 official testimony,Did not implicate FDN/Northern Front,Underlying evidence body,Scoped official admission,Very high,,
P3V2-031,"CIA OIG found no CIA relationship with Ross, Blandón, or Meneses",California/Nicaragua,1980s-1998,Ross; Blandón; Meneses,CIA,None,Denied,Trafficking acknowledged,California distribution,Limited donations disputed,California,OFFICIAL POSITION,OIG I,15-18,Court records,Webb refs,,,1 institutional review plus court context,Webb/Cabezas broader allegations do not prove these relationships,Unknown unavailable files,Strong contrary evidence to crack-creation thesis,Very high,,
P3V2-032,Blandón claimed limited drug-profit support to Contras,California/Central America,1981-1982,Blandón; Meneses,FDN,None,Beneficiary CIA-backed,Cocaine sales,Truck/radios/medical supplies,Thousands/$40k estimate,California source market,PLAUSIBLE CONNECTION,Webb,128-130,OIG I,15-16,,,1 participant source,OIG says unsubstantiated/no motivation proof,Independent receipts,Some proceeds benefited support activity,Medium,,
P3V2-033,No evidence CIA created crack epidemic through California principals,United States,1980s,Ross; Blandón; Meneses,CIA,None,Denied,Crack/cocaine,Distribution separate from CIA,None,California,OFFICIAL POSITION,OIG I,15-18,Independent media/court records,various,,,1 major investigation,Trafficking and Contra sympathies still documented,Unknown records,Broad causal claim fails,Very high,,
P3V2-034,BCCI serviced both intelligence transfers and drug-linked clients,Panama/global,1980s,Noriega; BCCI officers,BCCI; CIA,None,CIA used transfer point,Cartel clients/laundering,Banking,Large deposits,Dollar system/U.S. exposure,DOCUMENTED FACT,Cocaine Politics,17-19,Kerry report,"12,46-47,64",,,2 overlapping clusters,CIA denied illegal purpose,Transaction commingling,Shared finance infrastructure,High,,
P3V2-035,Noriega relationship delayed/limited drug enforcement,Panama/U.S.,1970s-1980s,Manuel Noriega,CIA; DEA; State; DOJ,None,Long intelligence relationship,Drug protection/trafficking,State/air/bank infrastructure,Accounts/payments,U.S.-bound/prosecution,STRONG INFERENCE,Kerry report,"6-8,66-74",Cocaine Politics,178-192,,,2,Agencies cited liaison/source concerns,Single unified order,Intelligence value displaced enforcement,Very high,,
P3V2-036,Brazil aid was used as political leverage against Goulart,Brazil,1963,Goulart; Gordon,State; aid agencies,Direct,Parallel covert action,None,Economic assistance,Aid package,None,DOCUMENTED FACT,State memorandum,1-4,,,,,1 primary,N/A,No narcotics link,Aid created political access/leverage,High,,
P3V2-037,U.S. planned clandestine arms/petroleum support for anti-Goulart forces,Brazil,1964,Lincoln Gordon,State; interagency covert apparatus,Not USAID-specific,Covert support,None,Arms/fuel/air-sea support,U.S. resources,None,DOCUMENTED FACT,Gordon cable,1964-03-27 local PDF,White House meeting,1964-04-01 local PDF,,,2 primary,N/A,Much support not needed,No drug chain,Covert logistics platform,High,
P3V2-038,U.S. officials knew Brazilian police/security organs used torture and extrajudicial killing,Brazil,1971-1973,Fleury; police/security officials,State; Brazilian police/CODI,USAID context/distribution,CIA distribution/parallel relationship,Some death-squad drug-market overlap,Police facilities,Corrupt racket theories,None,DOCUMENTED FACT,State A-249,1-11,State psychophysical report,1-6,,,2 primary,No U.S. responsibility admitted,Direct assistance-to-abuse tracing,Security support continued amid knowledge,High,,
P3V2-039,Brazil police death squads intersected narcotics rackets/dealer killings,Brazil,late 1960s-1971,Fleury; police,State police/death squads,Aid-built broader capacity,No named CIA tie,Drug territories/dealers,Police vehicles/stations,Possible racket control,No U.S. route,PLAUSIBLE CONNECTION,State A-249,"3,6,9",,,,,1 primary report with multiple local sources,Report presents competing theories,Court/case files,Police/security-drug overlap,Medium,,
P3V2-040,Brazil corpus does not establish CIA-protected cocaine route to U.S.,Brazil,1960s-1980s,,CIA; USAID; Brazilian services,Access/capacity documented,Political action documented,Fragmentary leads only,No route,No proven benefit,No endpoint,DOCUMENTARY BREAK,Brazil primary corpus,multiple,Cocaine Politics,"41,67-68",,,2,N/A,Security architecture is strong,Named actor-route-protection-endpoint chain,Brazil is controlled contrast,Very high,
P3V2-041,Mingolla was arrested in São Paulo with 357 kg cocaine after Southern Cone intelligence work,Brazil/Southern Cone,1987,Alfredo Mario Mingolla,Argentine/Bolivian security networks,None,No direct CIA tie shown,Large seizure,Cross-border movement,Unknown,No U.S. endpoint,WEAK / UNCORROBORATED locally,Cocaine Politics,67-68; n.136,EFE/press,"cited, not local",,,1 secondary cluster,N/A,Primary arrest file absent,CIA/USAID/protection/end route,Security-drug overlap lead,Medium,
P3V2-042,Huanchaca financed Contras/was DEA-controlled,Bolivia/Brazil border,1980s,Suarez family; Rasmussen,Huanchaca complex; DEA,None,Alleged only,Cocaine factory,Remote complex,Alleged Contra finance,Unknown,WEAK / UNCORROBORATED,Cocaine Politics,41; n.40,Press reports,cited,,,1 allegation cluster,N/A,Contested allegations,All core arrows,Acquisition lead only,Low,
P3V2-043,Huggins local source is authentic but incomplete through printed p.44,Latin America,1998 source,Martha Huggins,,N/A,N/A,N/A,N/A,N/A,N/A,DOCUMENTED FACT,Local PDF inspection,64 image pages,Integrity log,,,,2,N/A,None,Later chapters absent,Prevents miscitation,High,
P3V2-044,"Agee documents multiple AID Public Safety cover, police-liaison, training and recruitment cases",Latin America,1960s,Philip Agee; Alejandro Otero; Ted Shannon; Bill Cantrell,CIA; AID Public Safety; International Police Services School,Direct cover,Direct firsthand account,None inherent,Training and police-intelligence placement,None established,None,CORROBORATED ACCOUNT,"Agee, Inside the Company (Stonehill 1975)","PDF 55-56, 268, 405-406, 409, 420-421, 461",MSU Smuckler oral history; Marchetti/Marks; Ahern,structural corroboration,,,4 source chains,CIA review authenticates book identity but disputes author and interpretation,Diary reconstructed after service; named personnel files not acquired,Individual personnel-file confirmation,AID police programs supplied recurring CIA cover and access,Very high,Authentic complete local edition now acquired
P3V2-045,Laos full 1972 CIA IG report/annexes are not local,Laos,1972/current inventory,,CIA OIG,AID interviews summarized,Direct,Inquiry scope,Air America,None,Regional,DOCUMENTARY BREAK,Senate Book I,11-17,Source inventory,,,,2,Official position available in excerpt,Senate chapter is substantial but incomplete,Full report/annexes,Targeted acquisition could sharpen witness omissions,High,
P3V2-046,"Complete Kerry deposition/exhibit archive remains unavailable, but CIA OIG reproduces many underlying records",Central America,1988/current inventory,,Senate subcommittee,N/A,Multiple,Multiple,Multiple,Multiple,U.S.,DOCUMENTARY BREAK,Kerry local scan,90 pages,CIA OIG Contra Report vols. I-II,Vol. II 252-321 and subject sections,,,Multiple official records for selected claims,N/A,Published report body is present,Complete Kerry exhibit and deposition archive,Limits witness-level re-audit,High,"Gap narrowed; Hyde, SETCO, Vortex, Hull and Southern Front claims materially upgraded"
P3V2-047,"Official Air America denial resolves policy/knowing pilot claim, not movement through system",Laos,1972-1976,Air America/CIA personnel,CIA; Air America,AID was interviewed/customer,Direct,Occasional carriage admitted,Incomplete loading control,None,Regional,OFFICIAL POSITION,Senate Book I,11-15,McCoy,213-235,,,2,"No policy, senior sanction, knowing U.S.-pilot proof",Independent witnesses/official admissions show leakage,Specific loads,Denial is narrower than functional-facilitation thesis,Very high,
P3V2-048,Official Contra OIG denial resolves institutional conspiracy more than tolerance/protection,Central America,1980s-1998,CIA personnel/assets,CIA,None,Direct,Case allegations,Proxy logistics,Supplier/contracts,U.S.,OFFICIAL POSITION,OIG II,executive findings,OIG II cases,"22-31,307-365",,,1 report with internal tension,No institutional conspiracy,Report documents continued contacts/reporting failures/protection concern,Intent/master order,Functional preservation remains supported,Very high,
P3V2-049,Drug endpoints are documented more strongly than uninterrupted upstream attribution,SEA/Central America/U.S.,1960s-1980s,Multiple,Multiple,Laos aid link,CIA/proxy links,Heroin/cocaine,Air/ground/bank,Multiple,Servicemen/U.S. markets,STRONG INFERENCE,McCoy,regional chapters,OIG II,365,OIG I,15-18,3,N/A,California CIA link denied,Shipment continuity,System increased opportunity/reach,High,
P3V2-050,Functional drug-pipeline thesis does not require central CIA trafficking order,Cross-theater,Cold War,Multiple,CIA; aid agencies; proxies,Access/logistics,Knowledge/relationships,Allied networks,Preserved infrastructure,Operational benefits,U.S.-connected endpoints,STRONG INFERENCE,Senate Book I,12-17,Kerry report,"6-8,27-34,66-74",OIG II,"22-31,307-365",3+,No institutional policy/conspiracy,Theaters with breaks cannot be generalized,Intent and full shipment continuity,Repeated priority-driven preservation formed functional pipelines,Very high,"Synthesis, not a standalone factual allegation"
P3V2-051,"U.S. police advisers in Brazil were required partly to monitor, obtain information, and create CIA recruitment opportunities",Brazil,early 1960s,U.S. advisers; Brazilian police,USAID/OPS; CIA; Brazilian police,Direct adviser condition,Recruitment opportunity,None,Resident access/information,Aid program,None,CORROBORATED ACCOUNT,Motta,7,Motta footnote audit,"PDF 7, 10; exact recruitment clauses unfootnoted",,,1 academic reconstruction from primary archive,No claim every adviser or recruit served CIA,"Adjacent RG 286 footnotes support surrounding claims, not exact wording",Primary U.S. document explicitly stating CIA recruitment purpose,Aid adviser presence created intelligence access,Very high,Treat as Motta's scholarly synthesis; no MAJOR SERIES FINDING flag
P3V2-052,MSU leadership knowingly accepted at least one CIA officer inside the ICA-sponsored police team,South Vietnam,1955-1962,Ngo Dinh Diem; Wesley Fishel,ICA; MSU; CIA,ICA sponsorship,Secret funding reported,None,Technical-assistance platform,Funding amount unknown,None,DOCUMENTED FACT,Ralph Smuckler MSU oral history,online transcript,MSU archive finding aid and Vietnam Project research guide,collection and contract descriptions,,,1 primary institutional witness plus secondary corroboration,No narcotics claim,Five-person team and individual pay arrangements not confirmed by primary personnel files,Names/payroll for complete alleged team,Aid vehicle and CIA funding overlapped,Very high,Minimum one-officer embedding is primary and documented
P3V2-053,MSU police adviser Jack Ryan complained that the mission furnished CIA cover,South Vietnam,late 1950s-1960,Jack E. Ryan,MSU; CIA; ICA,Overt mission,Embedded officers/cover,None,Police mission access,None,None,CORROBORATED ACCOUNT,Schrader,89,Ryan correspondence,cited in chapter notes,,,1 firsthand statement via academic source,No proof all mission work was covert,No drug link; underlying letter not local,Direct participant identified cover function,Very high,Acquire full Ryan correspondence,
P3V2-054,"Brazil's OBAN and DOI-CODI integrated police, military, intelligence, private finance, and detention logistics",Brazil,1969 onward,Sérgio Fleury; security officials,OBAN; DOI-CODI; DOPS; armed forces,Aid-modernized police context,No CIA role established here,None,Coordinated information/detention network,Business donations to OBAN,None,DOCUMENTED FACT,Brazilian Truth Commission Vol. I,"102,112-113,127",Motta,20-22,,,2,No U.S. causation finding,State and private coordination documented,USAID/CIA/drug/end-route arrows,Downstream repression network was operationally integrated,High,"Controlled contrast: security chain complete, narcotics chain absent"
P3V2-055,AID-439-342 assigned multiple Air America C-123s to USAID work in the same operational network used for covert and military support,Laos,1969-1973,Air America crews; USAID staff,AID; Air America; CIA; USAF,Direct contract,CIA proprietary and shared operational network,No specific load; official inquiry separately concedes occasional system carriage,C-123s; Vientiane; Udorn; Long Tieng; Laos bases,Contract and implementation orders,None in claim,DOCUMENTED FACT,"Leeker, Air America Fairchild C-123 Providers",9-32; TTU packet PDF 148,UTD/Bisson/B5 archival citations,"reels 23, 24, 27, 29",,,1 archival synthesis with multiple primary records,USAID and military task categories,No narcotics intent or manifest,Standalone images of every order for document quality only,"Overt relief/agriculture and covert-war lift shared aircraft, bases and logistics",Very high,Absence of narcotics language is not a gap
P3V2-056,ARD and Seabee road construction into Mae Salong created transport capacity in a known KMT narcotics zone,Thailand,1967-1972,KMT/CIF leaders Li and Tuan,AID ARD; U.S. Navy Seabees; Thai Border Patrol Police; KMT,ARD funding and security-road program,Counterinsurgency context; direct road tasking not shown,KMT opium/refining role and U.S. knowledge documented; road cargo attributed by McCoy,Mae Salong road and daily truck traffic,ARD appropriations documented generally,International market context,STRONG INFERENCE,"FRUS 1964-68 v27 d344; FRUS 1969-76 v20 d50, d173",online documents,Journal of the Siam Society 1975 field study; McCoy,field study road account; McCoy PDF 282,,,3 source chains for infrastructure; 1 for drug cargo,Security/development purpose; U.S. monitored KMT opium commitments,No project number or drug manifest,Exact project file and independent observation of drug loads,Road lowered transport friction for a known narcotics center,High,Infrastructure documented; drug use strong inference
P3V2-057,"Official U.S. records document Golden Triangle regional flow, GI consumption and U.S.-connected heroin markets",Laos/Thailand/South Vietnam/United States,1971-1972,U.S. troops; regional traffickers,CIA; State; BNDD; Customs; Congress,None direct,CIA intelligence reporting,"Production, refining, GI supply and U.S.-bound channels","Air, mail, maritime and commercial routes",Market redirection,Direct at system level,DOCUMENTED FACT,"FRUS 1969-76 vol. E-1 docs. 220, 225",online documents,CIA Southeast Asian heroin studies and congressional records,1971-1972,,,Multiple original U.S. records,Under 10 percent of U.S. heroin then from Southeast Asia; serious potential source,No named continuous Laos-to-U.S. load,Specific shipment only,Regional supply reached GI and U.S.-connected markets,High,Do not imply Southeast Asia dominated the U.S. market in 1972
P3V2-058,"The 1972 CIA Laos narcotics inquiry conceded occasional carriage, incomplete loading control, narcotics-connected allies and war-priority non-suppression",Laos/Southeast Asia,1966-1972,CIA case officers; Air America personnel; Lao and Hmong allies,CIA OIG; Air America; AID; State; BNDD; Customs,AID representatives interviewed and supported shared logistics,Direct official investigation,Occasional opium carriage; known or suspected allied connections,Aircraft loading and hill-to-city movement,Allied political economy,Regional,DOCUMENTED FACT,"Church Committee, Foreign and Military Intelligence Book I",PDF 12-17 / printed 228-233,CIA-RDP74B00415R000400020027-3,one-page transmittal,,,Official inquiry summarized by congressional record,No institutional policy or evidence of staff/contract trafficking,"Full report, annexes and interviews not released",Complete IG evidentiary file,War priority preserved narcotics-connected relationships and allowed leakage,Very high,Distinguish policy denial from operational concessions
P3V2-059,CIA records warned that Hyde's Agency connection could complicate counternarcotics prosecution,Honduras/Central America,1993,Alan Hyde,CIA; law enforcement,None,Documented prior contractor relationship,Counternarcotics target concern,"Mariscos Hybur vessels, storage and avgas",Commercial contracts,Alleged cocaine movement toward United States,DOCUMENTED FACT,CIA OIG Contra Report vol. II,"PDF 318, para. 953","Underlying March 11, 1993 cable summarized by OIG",1993-03-11,,,1 official documentary chain,Agency relationship could prove difficult at prosecution stage,No conviction established Hyde allegations,Underlying unredacted cable and prosecution file,Covert relationship created an enforcement vulnerability,High comparative,Do not equate concern with proof of trafficking
