assertion_text,claim_ids,support_status,support_type,classification,source_ids,review_required,notes,assertion_type,assertion_id,content_id,text_section
"NSAM 132 was dated February 19, 1962.",CLM-USAIDCIA-P01-001,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-TT-SHORT-003-02,WRR-USAIDCIA-P01-TT-SHORT-003,BODY
Kennedy described police assistance as crucial to countering Communist indirect aggression.,CLM-USAIDCIA-P01-002,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-SHORT-003-03,WRR-USAIDCIA-P01-TT-SHORT-003,BODY
Read Part 1 and examine the records yourself.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-TT-SHORT-003-04,WRR-USAIDCIA-P01-TT-SHORT-003,BODY
Follow the series as each file opens.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-TT-SHORT-003-05,WRR-USAIDCIA-P01-TT-SHORT-003,CTA
"Follow four decisions across 1962, and a police system takes shape in plain sight.",CLM-USAIDCIA-P01-001|CLM-USAIDCIA-P01-006|CLM-USAIDCIA-P01-010,PARTIALLY_SUPPORTED,DIRECT,DOCUMENTED_FACT,2|3|4,YES,Sentence-level deterministic evidence mapping.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-TT-MEDIUM-001-01,WRR-USAIDCIA-P01-TT-MEDIUM-001,BODY
"NSAM 132 was dated February 19, 1962.",CLM-USAIDCIA-P01-001,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-TT-MEDIUM-001-02,WRR-USAIDCIA-P01-TT-MEDIUM-001,BODY
"NSAM 162 was dated June 19, 1962.",CLM-USAIDCIA-P01-006,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-TT-MEDIUM-001-03,WRR-USAIDCIA-P01-TT-MEDIUM-001,BODY
"The July 20, 1962 committee called police programs a neglected part of countering subversion and insurgency.",CLM-USAIDCIA-P01-010,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-MEDIUM-001-04,WRR-USAIDCIA-P01-TT-MEDIUM-001,BODY
The committee assigned AID operating and funding responsibility except for covert aspects and selected Defense programs.,CLM-USAIDCIA-P01-016,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-MEDIUM-001-05,WRR-USAIDCIA-P01-TT-MEDIUM-001,BODY
"That division matters: overt administration and covert activity were recognized as different categories, not proof that AID and CIA were identical.",CLM-USAIDCIA-P01-001|CLM-USAIDCIA-P01-006|CLM-USAIDCIA-P01-010|CLM-USAIDCIA-P01-016,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|3|4,YES,Synthetic language mapped to underlying claims.,COMPARATIVE,AST-WRR-USAIDCIA-P01-TT-MEDIUM-001-06,WRR-USAIDCIA-P01-TT-MEDIUM-001,BODY
Read Part 1 and examine the records yourself.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-TT-MEDIUM-001-07,WRR-USAIDCIA-P01-TT-MEDIUM-001,BODY
Part 1 has the documents.,CLM-USAIDCIA-P01-001|CLM-USAIDCIA-P01-006|CLM-USAIDCIA-P01-010|CLM-USAIDCIA-P01-016,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|3|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-TT-MEDIUM-001-08,WRR-USAIDCIA-P01-TT-MEDIUM-001,CTA
Why was a civilian aid agency being assigned a central role in overseas police assistance?,CLM-USAIDCIA-P01-002|CLM-USAIDCIA-P01-005|CLM-USAIDCIA-P01-007|CLM-USAIDCIA-P01-010,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|3|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-TT-MEDIUM-002-01,WRR-USAIDCIA-P01-TT-MEDIUM-002,BODY
Kennedy described police assistance as crucial to countering Communist indirect aggression.,CLM-USAIDCIA-P01-002,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-MEDIUM-002-02,WRR-USAIDCIA-P01-TT-MEDIUM-002,BODY
Kennedy asked AID to review support for local police forces used for internal security and counterinsurgency.,CLM-USAIDCIA-P01-005,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-MEDIUM-002-03,WRR-USAIDCIA-P01-TT-MEDIUM-002,BODY
"NSAM 162 called for country plans combining military, police, intelligence and psychological measures.",CLM-USAIDCIA-P01-007,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-MEDIUM-002-04,WRR-USAIDCIA-P01-TT-MEDIUM-002,BODY
"The July 20, 1962 committee called police programs a neglected part of countering subversion and insurgency.",CLM-USAIDCIA-P01-010,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-MEDIUM-002-05,WRR-USAIDCIA-P01-TT-MEDIUM-002,BODY
"That division matters: overt administration and covert activity were recognized as different categories, not proof that AID and CIA were identical.",CLM-USAIDCIA-P01-002|CLM-USAIDCIA-P01-005|CLM-USAIDCIA-P01-007|CLM-USAIDCIA-P01-010,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|3|4,YES,Synthetic language mapped to underlying claims.,COMPARATIVE,AST-WRR-USAIDCIA-P01-TT-MEDIUM-002-06,WRR-USAIDCIA-P01-TT-MEDIUM-002,BODY
Read Part 1 and examine the records yourself.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-TT-MEDIUM-002-07,WRR-USAIDCIA-P01-TT-MEDIUM-002,BODY
Which boundary would you investigate next?,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-TT-MEDIUM-002-08,WRR-USAIDCIA-P01-TT-MEDIUM-002,CTA
The committee reported that FY1958 AID police programs in 21 countries cost about $14 million.,CLM-USAIDCIA-P01-012,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,NUMERIC,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-01,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
The committee reported that FY1958 Defense police programs cost $5.8 million in five countries.,CLM-USAIDCIA-P01-013,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,NUMERIC,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-02,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
The committee recommended substantially increasing the global police-assistance program.,CLM-USAIDCIA-P01-014,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-03,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
The committee proposed protecting police funds from competition with economic-development projects.,CLM-USAIDCIA-P01-021,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-04,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
One proposed funding option was an AID internal-defense budget line for FY1964.,CLM-USAIDCIA-P01-022,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-05,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
The sequence matters more than a slogan.,CLM-USAIDCIA-P01-012|CLM-USAIDCIA-P01-013|CLM-USAIDCIA-P01-014|CLM-USAIDCIA-P01-021,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-06,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
"A policy problem became an interagency design, then an operating assignment.",CLM-USAIDCIA-P01-012|CLM-USAIDCIA-P01-013|CLM-USAIDCIA-P01-014|CLM-USAIDCIA-P01-021,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-07,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
The documents support a national-security architecture.,CLM-USAIDCIA-P01-012|CLM-USAIDCIA-P01-013|CLM-USAIDCIA-P01-014|CLM-USAIDCIA-P01-021,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-08,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
They do not support collapsing every participating agency into one institution.,CLM-USAIDCIA-P01-012|CLM-USAIDCIA-P01-013|CLM-USAIDCIA-P01-014|CLM-USAIDCIA-P01-021,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-09,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
Read Part 1 and examine the records yourself.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-10,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
"Read the sequence slowly: the funding proposal, the agency boundaries, the training plan and the deadline are pieces of one administrative design.",CLM-USAIDCIA-P01-012|CLM-USAIDCIA-P01-013|CLM-USAIDCIA-P01-014|CLM-USAIDCIA-P01-021,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-11,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
The tension is visible because the conventional development rationale and the stated internal-defense rationale occupy the same file.,CLM-USAIDCIA-P01-012|CLM-USAIDCIA-P01-013|CLM-USAIDCIA-P01-014|CLM-USAIDCIA-P01-021,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,CAUSAL,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-12,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
That is why the exact wording matters.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-13,WRR-USAIDCIA-P01-TT-LONGSHORT-001,BODY
Part 1 has the documents.,CLM-USAIDCIA-P01-012|CLM-USAIDCIA-P01-013|CLM-USAIDCIA-P01-014|CLM-USAIDCIA-P01-021,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-TT-LONGSHORT-001-14,WRR-USAIDCIA-P01-TT-LONGSHORT-001,CTA
"The important connection was administrative, explicit and interagency.",CLM-USAIDCIA-P01-007|CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-009,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3,YES,Synthetic language mapped to underlying claims.,RELATIONSHIP,AST-WRR-USAIDCIA-P01-FB-PHOTO-001-01,WRR-USAIDCIA-P01-FB-PHOTO-001,BODY
"NSAM 162 called for country plans combining military, police, intelligence and psychological measures.",CLM-USAIDCIA-P01-007,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-PHOTO-001-02,WRR-USAIDCIA-P01-FB-PHOTO-001,BODY
NSAM 162 directed CIA and AID to maintain personnel with paramilitary skills for crisis areas.,CLM-USAIDCIA-P01-008,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-PHOTO-001-03,WRR-USAIDCIA-P01-FB-PHOTO-001,BODY
NSAM 162 directed CIA to expand training and support for indigenous intelligence organizations.,CLM-USAIDCIA-P01-009,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-PHOTO-001-04,WRR-USAIDCIA-P01-FB-PHOTO-001,BODY
"Taken together, those assignments describe a division of labor: civilian administration in AID, policy guidance in State and selected responsibilities outside AID.",CLM-USAIDCIA-P01-007|CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-009,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-001-05,WRR-USAIDCIA-P01-FB-PHOTO-001,BODY
"The covert carve-out limits what the overt assignment proves,",CLM-USAIDCIA-P01-007|CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-009,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-001-06,WRR-USAIDCIA-P01-FB-PHOTO-001,BODY
it also makes the boundary part of the official design.,CLM-USAIDCIA-P01-007|CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-009,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-001-07,WRR-USAIDCIA-P01-FB-PHOTO-001,BODY
That distinction is the payoff.,CLM-USAIDCIA-P01-007|CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-009,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-001-08,WRR-USAIDCIA-P01-FB-PHOTO-001,BODY
The records establish an interagency internal-defense structure without establishing that every participating agency was the same institution.,CLM-USAIDCIA-P01-007|CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-009,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3,YES,Synthetic language mapped to underlying claims.,COMPARATIVE,AST-WRR-USAIDCIA-P01-FB-PHOTO-001-09,WRR-USAIDCIA-P01-FB-PHOTO-001,BODY
Share this with a reader who values primary records.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-FB-PHOTO-001-10,WRR-USAIDCIA-P01-FB-PHOTO-001,CTA
The ordinary explanation is reasonable: stable civilian policing could support development.,CLM-USAIDCIA-P01-003|CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-010,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-002-01,WRR-USAIDCIA-P01-FB-PHOTO-002,BODY
The record adds another purpose.,CLM-USAIDCIA-P01-003|CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-010,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-002-02,WRR-USAIDCIA-P01-FB-PHOTO-002,BODY
Kennedy said police programs could appear marginal under economic-development criteria.,CLM-USAIDCIA-P01-003,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-PHOTO-002-03,WRR-USAIDCIA-P01-FB-PHOTO-002,BODY
Kennedy warned that police programs could be neglected because they were a small part of AID.,CLM-USAIDCIA-P01-004,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-PHOTO-002-04,WRR-USAIDCIA-P01-FB-PHOTO-002,BODY
"The July 20, 1962 committee called police programs a neglected part of countering subversion and insurgency.",CLM-USAIDCIA-P01-010,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-PHOTO-002-05,WRR-USAIDCIA-P01-FB-PHOTO-002,BODY
"Taken together, those assignments describe a division of labor: civilian administration in AID, policy guidance in State and selected responsibilities outside AID.",CLM-USAIDCIA-P01-003|CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-010,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-002-06,WRR-USAIDCIA-P01-FB-PHOTO-002,BODY
"The covert carve-out limits what the overt assignment proves,",CLM-USAIDCIA-P01-003|CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-010,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-002-07,WRR-USAIDCIA-P01-FB-PHOTO-002,BODY
it also makes the boundary part of the official design.,CLM-USAIDCIA-P01-003|CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-010,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-002-08,WRR-USAIDCIA-P01-FB-PHOTO-002,BODY
That distinction is the payoff.,CLM-USAIDCIA-P01-003|CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-010,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-002-09,WRR-USAIDCIA-P01-FB-PHOTO-002,BODY
The records establish an interagency internal-defense structure without establishing that every participating agency was the same institution.,CLM-USAIDCIA-P01-003|CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-010,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,COMPARATIVE,AST-WRR-USAIDCIA-P01-FB-PHOTO-002-10,WRR-USAIDCIA-P01-FB-PHOTO-002,BODY
Part 1 reconstructs the complete paper trail.,CLM-USAIDCIA-P01-003|CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-010,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-002-11,WRR-USAIDCIA-P01-FB-PHOTO-002,CTA
The founding directive acknowledged “covert aspects” without mapping them.,CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-003-01,WRR-USAIDCIA-P01-FB-PHOTO-003,BODY
"That is a question, not a verdict.",,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-FB-PHOTO-003-02,WRR-USAIDCIA-P01-FB-PHOTO-003,BODY
NSAM 162 directed CIA and AID to maintain personnel with paramilitary skills for crisis areas.,CLM-USAIDCIA-P01-008,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-PHOTO-003-03,WRR-USAIDCIA-P01-FB-PHOTO-003,BODY
The committee assigned AID operating and funding responsibility except for covert aspects and selected Defense programs.,CLM-USAIDCIA-P01-016,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-PHOTO-003-04,WRR-USAIDCIA-P01-FB-PHOTO-003,BODY
The committee recommended a dedicated AID police office.,CLM-USAIDCIA-P01-017,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-PHOTO-003-05,WRR-USAIDCIA-P01-FB-PHOTO-003,BODY
"Taken together, those assignments describe a division of labor: civilian administration in AID, policy guidance in State and selected responsibilities outside AID.",CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-003-06,WRR-USAIDCIA-P01-FB-PHOTO-003,BODY
"The covert carve-out limits what the overt assignment proves,",CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-003-07,WRR-USAIDCIA-P01-FB-PHOTO-003,BODY
it also makes the boundary part of the official design.,CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-003-08,WRR-USAIDCIA-P01-FB-PHOTO-003,BODY
That distinction is the payoff.,CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-PHOTO-003-09,WRR-USAIDCIA-P01-FB-PHOTO-003,BODY
The records establish an interagency internal-defense structure without establishing that every participating agency was the same institution.,CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3|4,YES,Synthetic language mapped to underlying claims.,COMPARATIVE,AST-WRR-USAIDCIA-P01-FB-PHOTO-003-10,WRR-USAIDCIA-P01-FB-PHOTO-003,BODY
What does this division of responsibility mean to you?,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-FB-PHOTO-003-11,WRR-USAIDCIA-P01-FB-PHOTO-003,CTA
